#,Priority (Prioridad),Status (Estado),Page (Página),Topic (Tema),Cluster (Grupo),Repetition n (Repetición),Quote — verbatim (Cita textual),Proposed fix (Solución propuesta),Effort (Esfuerzo),ETA bucket (Bucket ETA),Linked task ref (Tarea ligada)
16,P0,⏳ Pending (Pendiente),https://konti-demo.replit.app/projects/proj-1,Feature request (Solicitud),Client view / portal,12,Agregar carga de archivos por parte del cliente o definir claramente si puede subir documentos y en qué sección,"Add client-side document upload (or document where the client can upload), since today only the team uploads.",L,1 week,—
17,P0,⏳ Pending (Pendiente),https://konti-demo.replit.app/projects/proj-1,Feature request (Solicitud),Client view / portal,12,Agregar pestaña de “Gastos no facturables”,Add a 'Gastos no facturables' (non-billable expenses) tab to the project finances panel.,M,2–3 days,—
19,P0,⏳ Pending (Pendiente),https://konti-demo.replit.app/projects/proj-1,Feature request (Solicitud),Client view / portal,12,"Agregar columnas de parte del cliente de monto total, pagado, saldo pendiente y estado por factura","Add per-invoice columns to the client invoices view (total, paid, balance, status).",M,2–3 days,—
20,P0,⏳ Pending (Pendiente),https://konti-demo.replit.app/projects/proj-1,Content (Contenido),Client view / portal,12,"En configuración del cliente agregar teléfono, dirección postal y dirección física","Make phone, postal address, and physical address editable in the client configuration screen.",S,≤ 1 day,—
26,P0,⏳ Pending (Pendiente),https://konti-demo.replit.app/projects/proj-1,Other (Otro),Client view / portal,12,"Que quede la ultima versión aquí, pero tengamos historial de los documentos. Pero solo se puede descargar la ultima versión","Keep only the latest version of each document downloadable, but expose a read-only version history alongside it.",M,2–3 days,—
27,P0,⏳ Pending (Pendiente),https://konti-demo.replit.app/projects/proj-1,Other (Otro),Client view / portal,12,Ellos van a marcar que quieren que el cliente vea y que no,Add a per-document/per-section 'visible to client' toggle so the team controls exactly what the client sees.,L,1 week,—
35,P0,⏳ Pending (Pendiente),https://konti-demo.replit.app/materials,Other (Otro),Calculator / estimating,12,"Para el contratista, subir los ultimos 3 recibos y que tome esto para actualizar el listado de caculadora de mano de obra","On the materials page, accept the contractor's last 3 receipts and update the labor-rate list automatically.",L,1 week,Task #28
49,P0,⏳ Pending (Pendiente),https://konti-demo.replit.app/calculator?projectId=proj-1&tab=variance,Content (Contenido),Calculator / estimating,12,"esto deberia vivir en el dashboard para que Naino no tenga que encontrar esta pagina (que esta dificil de llegar a ella) para poder subir los recibos y categorizarlos. 

Project Name
Categoria 
Subcategoria 
etc

(ver excell de Jorge del project report) La idea de esta sección clasifique los recibos y las cantidades directamente dentro de este excell para que entonces el reporte pueda halar la informacion",Surface the receipts-upload entry point on the dashboard (today Naino has to dig through /calculator?tab=variance to upload + categorize them).,M,2–3 days,—
52,P0,⏳ Pending (Pendiente),https://konti-demo.replit.app/materials,Content (Contenido),Calculator / estimating,12,"nosotros no trabajamos por hora. si miramos el reporte de Jorge, esta la labor por lump sums.. creo que aqui esta la confusion con estos tabs.",Switch the labor model from hourly to lump-sum so the calculator matches Jorge's report — restructure the labor tabs accordingly.,L,1 week,—
53,P0,⏳ Pending (Pendiente),https://konti-demo.replit.app/calculator,Content (Contenido),Calculator / estimating,12,"intentamos importar el CSV de nuestro estimado inicial sheet de materiales. pero sale medio algarete... entiendo que el formato de las columnas no esta matching a nuestros estimados. 

Recuerda que el proposito de esta calculadora es que desde el principio podamos tener un estimado basado en los averages de nuestra data historica y que al el proyecto seguir prograsando nosotros podamos editarla. Usando los project reports 

Upload endpoit + translation? 

la idea es que esta calculadora se trabaje una vez y yo cambiando pies cuadrados pueda tener un buen estimado y luego que se convierta en poryecto podamos ir editando materiales y añadiendo materiales y labor especificos a ese proyecto. 

creo que esto lo debemos hablar mas en detalle",Build a CSV import endpoint that translates the team's estimating-sheet column names into the calculator's schema (so imports stop coming in 'medio algarete').,M,2–3 days,—
55,P0,⏳ Pending (Pendiente),https://konti-demo.replit.app/calculator,Content (Contenido),Calculator / estimating,12,"contractor calculator? la info de abajo suena mas como project information.. maybe esto es como la data del proyecto?  
cantidad de baños, pies cuadrados, contingencia, margen, cantidad de cocinas, cantidad de vagones,","Re-label the 'contractor calculator' fields as 'Project Information' (bathrooms, sq ft, contingency, margin, kitchens, etc.) so the model matches the team's mental model.",M,2–3 days,—
56,P0,⏳ Pending (Pendiente),https://konti-demo.replit.app/calculator,Content (Contenido),Calculator / estimating,12,"esto se deberia ver como nuestro estimado con las secciones y resumenes y categorias organizadas. (ej - los costos de diseño, permisos, taxes and gov fees no estan saliendo) 

la informacion que sale dentro de los estimados debe salir aqui completa.","Show the calculator output with the team's full estimate sections (design costs, permits, taxes & gov fees, summaries) — today key sections are missing.",L,1 week,—
57,P0,⏳ Pending (Pendiente),https://konti-demo.replit.app/calculator,Content (Contenido),Calculator / estimating,12,deben salir todos los materiales automaticamente... esto es lo que nos confunde de la parte de imports? se supone que se reflejen aqui?,Auto-populate every imported material in the calculator (today the team thinks they have to pick one-by-one after import).,M,2–3 days,—
58,P0,⏳ Pending (Pendiente),https://konti-demo.replit.app/calculator,Content (Contenido),Calculator / estimating,12,que es effective?,Replace the ambiguous 'effective' column header with a self-explanatory label (or add a tooltip explaining what it means).,S,≤ 1 day,—
59,P0,⏳ Pending (Pendiente),https://konti-demo.replit.app/calculator,Feature request (Solicitud),Calculator / estimating,12,"necesitamos poder editar base price, quantitiy,",Make base price and quantity editable inline in the calculator line-item table.,M,2–3 days,—
66,P0,⏳ Pending (Pendiente),https://konti-demo.replit.app/projects/proj-1/report,Content (Contenido),Calculator / estimating,12,este management fee de donde sale? lo podemos editar en el calculator?,Add an editable management-fee field in the calculator and feed it through to the client report.,M,2–3 days,—
67,P0,⏳ Pending (Pendiente),https://konti-demo.replit.app/projects/proj-1/report,Content (Contenido),Client view / portal,12,si esta pagina es para el cliente.. ellos deben ver las categorias no el BOM.,Restructure the client view of the report to show categories instead of the raw BOM.,M,2–3 days,—
76,P0,⏳ Pending (Pendiente),https://konti-demo.replit.app/projects/proj-1776983841174,Other (Otro),Client view / portal,12,private to who? el team debe tener total visibilidad.. los clientes no,Default 'private' notes/documents to team-only and never expose them to the client (overlaps with #27).,S,≤ 1 day,—
82,P0,⏳ Pending (Pendiente),https://konti-demo.replit.app/projects/proj-1776983841174,Bug report (Reporte de bug),Client view / portal,12,maybe es por ser el demo pero no me deja upload nada,Investigate why upload fails on the demo project ('no me deja upload nada') and fix the regression.,M,2–3 days,"Task #27, Task #30, Task #32"
91,P0,⏳ Pending (Pendiente),https://konti-demo.replit.app/projects/proj-1/report,Content (Contenido),Client view / portal,12,"si acaso aqui es que debe estar el punchlist con los links a fotos como esta en el excell llamado ""Client Punch list"" Ahi tambien vive el ""Contractor Monitoring"" que da la data de si el contratista se atraso y porque.. a veces es justificado otras no y qjuiero que el cliente pueda ver eso para que entienda",Embed the 'Client Punch list' (with photo links) and the 'Contractor Monitoring' narrative on the report so the client sees both.,L,1 week,—
92,P0,⏳ Pending (Pendiente),https://konti-demo.replit.app/projects/proj-1/report,Content (Contenido),Client view / portal,12,"si este es el client report, la data debe match el reporte que les enviamos con sus categorias correspondientes y toda la info que sale en el...",Re-key the client-report categories so they match the team's spreadsheet one-to-one (single source of truth).,L,1 week,—
4,P0,⏳ Pending (Pendiente),https://konti-demo.replit.app/projects/proj-1,Feature request (Solicitud),Site photos / gallery,6,No encuentro la sección de fotos y notas de fotos o videos,"Add a Photos & Notes section inside the project page (upload, comment, link from the report).",L,1 week,—
14,P0,⏳ Pending (Pendiente),https://konti-demo.replit.app/projects/proj-1,Content (Contenido),Site photos / gallery,6,Sumaria la parte de fotos y comentarios,Add a Photos & Comments block to the project detail view alongside the existing tabs.,L,1 week,—
15,P0,⏳ Pending (Pendiente),https://konti-demo.replit.app/projects/proj-1,Content (Contenido),Site photos / gallery,6,"El informe de seguimiento del contratista debería mostrar retrasos, clima, problemas, cambios, incumplimientos y retrabajos. Lo ampliaria un poco más con la info.","Expand the contractor-monitoring report to surface delays, weather, issues, changes, breaches, and rework.",L,1 week,"Task #7, Task #11, Task #25"
23,P0,⏳ Pending (Pendiente),https://konti-demo.replit.app/projects/proj-1,Other (Otro),Site photos / gallery,6,Quiere que sea automadministrable y que puedan subir las imagenes,Make the photo/notes gallery self-administrable so the team can upload images directly without engineering help.,L,1 week,—
69,P0,⏳ Pending (Pendiente),https://konti-demo.replit.app/calculator?projectId=proj-1&tab=variance,Content (Contenido),Site photos / gallery,6,"we need a place to import the site photos for the weekly report and punchlist. not sure where this is?

these should also be able to be categorized so they can get saved in the drive as : 

process photos (internal), or punchlist photos (client view) 

then they need to get categorized by task type (plubming, electric, foundation, etc... ) see item categories in Punchlist excell","Add a site-photos importer for the weekly report and punchlist with categories (process photos = internal, punchlist photos = client-visible).",L,1 week,—
79,P0,⏳ Pending (Pendiente),https://konti-demo.replit.app/projects/proj-1776983841174,Content (Contenido),Site photos / gallery,6,"ver documento de punchlist.. deberiamos poder ver las mismas categorias items, y links a las fotos del dive para que el cliente pueda visualizar su proyecto sin tener que visitar el site",Align the punchlist categories/items with the team's 'Client Punch list' spreadsheet and surface Drive photo links so the client can browse without visiting the site.,L,1 week,—
3,P0,⏳ Pending (Pendiente),https://konti-demo.replit.app/projects/proj-1/report,Design (Diseño),PDF report export,5,Lo dejaria en fondo blanco para una mejor visual o con la posibilidad de light,Add a light-mode option for the project report (default the background to white) so it reads cleanly when shared.,M,2–3 days,—
93,P0,⏳ Pending (Pendiente),https://konti-demo.replit.app/projects/proj-1/report,Content (Contenido),PDF report export,5,este entonces trataria de que fuera como el phase pie chart que tenemos en el punchlist vs otra vez budget,Add a phase pie-chart vs. budget visualization to the project report (mirroring the punchlist phase chart).,M,2–3 days,—
94,P0,⏳ Pending (Pendiente),https://konti-demo.replit.app/projects/proj-1/report,Content (Contenido),PDF report export,5,"estas fases no deberian tener numeros, esto ya que en el punchlist que vamos a incluir abajo salen las fases de construccion que si tienen numeros y se correlacionan a traves de todos los docuementos enviados. Por ende, estas fases que son las macro se pueden quedar con su nombre...",Drop the numeric prefix from the macro phases on the report so they no longer collide with the construction-phase numbering.,S,≤ 1 day,—
95,P0,⏳ Pending (Pendiente),https://konti-demo.replit.app/projects/proj-1/report,Content (Contenido),PDF report export,5,"""weather status""",Rename the 'weather status' label on the report header to the agreed copy.,S,≤ 1 day,—
98,P0,⏳ Pending (Pendiente),https://konti-demo.replit.app/projects/proj-1/report,Design (Diseño),Branding / logo,3,no me encanta el negro..esta muy agresivo.. creo que debemos usar la paleta de colores que tenemos en los excell,Repaint the report from solid black to the KONTi brand palette (Excel reference) for a softer client-facing look.,S,≤ 1 day,—
21,P1,🟡 In progress / scheduled (En progreso / programado),https://konti-demo.replit.app/projects/proj-1,Feature request (Solicitud),Calculator / estimating,12,Agregar Recibos de compras – solo del lado de KONTi  y que puede el sistema cotejarlos con el informe,Persist KONTi-side receipts across server restarts and cross-check them against the report (continuation of #22).,L,1 week,"Task #22, Task #27"
34,P1,🟡 In progress / scheduled (En progreso / programado),https://konti-demo.replit.app/calculator,Other (Otro),Calculator / estimating,12,Nos pasan el reporte formato para subirlo y que quede con ese formato,Accept the team's report-template upload and render the calculator output in that exact format.,M,2–3 days,"Task #22, Task #29"
